,Song,Artist,Year,Genre-group,Lyrics
0,"Hey, Soul Sister",Train,2010,neo mellow,"Hey, hey, hey Your lipstick stains
On the front lobe of my left side brains
I knew I wouldn't forget you
And so I went and let you blow my mind Your sweet moonbeam
The smell of you in every single dream I dream
I knew when we collided
You're the one I have decided who's one of my kind Hey, soul sister
Ain't that Mr. Mister on the radio, stereo
The way you move ain't fair, you know
Hey, soul sister
I don't wanna miss a single thing you do tonight Hey, hey, hey Just in time
I'm so glad you have a one-track mind like me
You gave my life direction
A game show love connection we can't deny I'm so obsessed
My heart is bound to beat right out my untrimmed chest
I believe in you, like a virgin, you're Madonna
And I'm always gonna wanna blow your mind Hey, soul sister
Ain't that Mr. Mister on the radio, stereo
The way you move ain't fair, you know
Hey, soul sister
I don't wanna miss a single thing you do tonight The way you can cut a rug
Watching you is the only drug I need
So gangsta, I'm so thug
You're the only one I'm dreaming of
You see, I can be myself now finally
In fact, there's nothing I can't be
I want the world to see you'll be with me Hey, soul sister
Ain't that Mr. Mister on the radio, stereo
The way you move ain't fair, you know
Hey, soul sister
I don't wanna miss a single thing you do tonight
Hey, soul sister
I don't wanna miss a single thing you do tonight
Hey, hey, hey (tonight)
Hey, hey, hey (tonight) "
1,Love The Way You Lie,Eminem,2010,hip hop,"Just gonna stand there and watch me burn
But that's alright because I like the way it hurts
Just gonna stand there and hear me cry
But that's alright because I love the way you lie
I love the way you lie
I can't tell you what it really is, I can only tell you what it feels like
And right now there's a steel knife in my windpipe
I can't breathe but I still fight, while I can fight
As long as the wrong feels right it's like I'm in flight
High off her love, drunk from her hate, it's like I'm huffin' paint
And I love her the more I suffer, I suffocate
And right before I'm about to drown, she resuscitates
Me, she fucking hates me and I love it, wait
Where you going, I'm leaving you, no you ain't
Come back, we're running right back here we go again
It's so insane, 'cause when it's going good it's going great
I'm Superman with the wind at his back, she's Lois Lane
But when it's bad it's awful, I feel so ashamed
I snapped ""who's that dude?"", I don't even know his name
I laid hands on her, I'll never stoop so low again
I guess I don't know my own strength
Just gonna stand there and watch me burn
But that's alright because I like the way it hurts
Just gonna stand there and hear me cry
But that's alright because I love the way you lie
I love the way you lie
I love the way you lie
You ever love somebody so much, you can barely breathe when you're with 'em
You meet and neither one of you even know what hit 'em
Got that warm fuzzy feelin', yeah them chills used to get 'em
Now you're gettin' fuckin' sick of lookin' at 'em
You'd swore you'd never hit 'em, never do nothing to hurt 'em
Now you're in each others' face, spewing venom in your words when you spit 'em
You push pull each others' hair, scratch claw bit 'em
Throw 'em down pin 'em, so lost in them moments when you're in 'em
It's the rage that took over, it controls ya both
So they say you're best to go your separate ways, guess that they don't know ya
'Cause today, that was yesterday, yesterday is over
It's a different day, sound like broken records playin' over
But you promised her, next time you'll show restraint
You don't get another chance, life is no Nintendo game
But you lied again, now you get to watch her leave out the window
Guess that's why they call it window pane
Just gonna stand there and watch me burn
But that's alright because I like the way it hurts
Just gonna stand there and hear me cry
But that's alright because I love the way you lie
I love the way you lie
I love the way you lie
Now I know we said things, did things, that we didn't mean
Then we fall back into the same patterns, same routine
But your temper's just as bad as mine is, you're the same as me
But when it comes to love, you're just as blinded, baby please
Come back, it wasn't you, baby it was me
Maybe our relationship isn't as crazy as it seems
Maybe that's what happens when a tornado meets a volcano
All I know is I love you too much to walk away though
Come inside, pick up your bags off the sidewalk
Don't you hear sincerity in my voice when I talk
Told you this is my fault, look me in the eyeball
Next time I'm pissed, I'll aim my fist at the dry wall
Next time, there will be no next time, I apologize
Even though I know it's lies, I'm tired of the games
I just want her back, I know I'm a liar
If she ever tries to fuckin' leave again, I'ma tie her to the bed and set this house on fire
Just gonna stand there and watch me burn
But that's alright because I like the way it hurts
Just gonna stand there and hear me cry
But that's alright because I love the way you lie
I love the way you lie
I love the way you lie "
2,TiK ToK,Kesha,2010,pop,"Wake up in the mornin' feeling like P. Diddy (Hey, what up, girl?)
Grab my glasses, I'm out the door, I'm gonna hit this city (Let's go!)
Before I leave, brush my teeth, with a bottle of Jack
'Cause when I leave for the night I ain't comin' back I'm talkin' pedicure on our toes, toes
Tryin' on all our clothes, clothes
Boys blowin' up our phones, phones Drop-toppin', playin' our favorite CDs
Pullin' up to the parties
Tryin' to get a little bit tipsy Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh Ain't got a care in the world, but got plenty of beer
Ain't got no money in my pocket, but I'm already here
And now the dudes are linin' up 'cause they hear we got swagger
But we kick 'em to the curb unless they look like Mick Jagger I'm talkin' 'bout everybody gettin' crunk, crunk
Boys tryin' to touch my junk, junk
Gonna smack him if he gettin' too drunk, drunk Now, now we go until they kick us out, out
Or the police shut us down, down
Police shut us down, down, po-po shut us down Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh DJ, you build me up, you break me down
My heart, it pounds, yeah, you got me
With my hands up, you got me now
You got that sound, yeah, you got me DJ, you build me up, you break me down
My heart, it pounds, yeah, you got me
With my hands up, put your hands up
Put your hands up! Now, the party don't start till I walk in Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight till we see the sunlight
Tik tok, on the clock, but the party don't stop, no
Oh whoa-oh-oh, oh whoa-oh-oh "
3,Bad Romance,Lady Gaga,2010,pop,"Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance I want your ugly, I want your disease
I want your everything as long as it's free
I want your love, love, love, love
I want your love I want your drama, the touch of your hand
I want your leather-studded kiss in the sand
I want your love, love, love, love
I want your love (love, love, love, I want your love) You know that I want you
And you know that I need you
I want it bad, your bad romance I want your love, and I want your revenge
You and me could write a bad romance
I want your love and all your lover's revenge
You and me could write a bad romance Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance I want your horror, I want your design
'Cause you're a criminal as long as you're mine
I want your love, love, love, love
I want your love I want your psycho, your vertigo shtick
Want you in my rear window, baby, you're sick
I want your love, love, love, love
I want your love (love, love, love, I want your love) You know that I want you
And you know that I need you ('cause I'm a free bitch, baby)
I want it bad, your bad romance I want your love, and I want your revenge
You and me could write a bad romance
I want your love and all your lover's revenge
You and me could write a bad romance Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance Walk, walk, fashion baby
Work it, move that bitch crazy
Walk, walk, fashion baby
Work it, move that bitch crazy
Walk, walk, fashion baby
Work it, move that bitch crazy
Walk, walk, passion baby
Work it, I'm a free bitch, baby I want your love, and I want your revenge
I want your love, I don't wanna be friends
J'veux ton amour, et je veux ta revanche
J'veux ton amour, I don't wanna be friends No, I don't wanna be friends (caught in a bad romance)
I don't wanna be friends, want your bad romance
Caught in a bad romance
Want your bad romance I want your love, and I want your revenge
You and me could write a bad romance
I want your love and all your lover's revenge
You and me could write a bad romance Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Want your bad romance
Caught in a bad romance
Want your bad romance (oh-oh-oh-oh-oooh...)
Want your bad romance
Caught in a bad romance Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance "
4,Just the Way You Are,Bruno Mars,2010,pop,"Oh, her eyes, her eyes
Make the stars look like they're not shining
Her hair, her hair
Falls perfectly without her trying
She's so beautiful
And I tell her everyday Yeah, I know, I know
When I compliment her she won't believe me
And it's so, it's so
Sad to think that she doesn't see what I see
But every time she asks me, do I look okay
I say When I see your face
There is not a thing that I would change
Cause you're amazing
Just the way you are And when you smile
The whole world stops and stares for a while
Cause, girl, you're amazing
Just the way you are, hey Her lips, her lips
I could kiss them all day if she let me
Her laugh, her laugh
She hates but I think it's so sexy
She's so beautiful
And I tell her everyday Oh, you know, you know
You know I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother asking if you look okay,
You know I'll say When I see your face
There is not a thing that I would change
Cause you're amazing
Just the way you are And when you smile
The whole world stops and stares for a while
Cause, girl, you're amazing
Just the way you are The way you are
The way you are
Girl, you're amazing
Just the way you are When I see your face
There's not a thing I would change
Cause you're amazing
Just the way you are And when you smile,
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are, yeah "
5,Baby,Justin Bieber,2010,pop,"Ohh wooaah Ohh wooaah Ohh wooaah
You know you love me, I know you care
Just shout whenever, And I'll be there
You are my love, You are my heart
And we will never ever-ever be apart Are we an item. Girl quit playing
""We're just friends""
What are you sayin?
said theres another and look right in my eyes
My first love broke my heart for the first time, And I was like
Baby, baby, baby ooh
Like baby, baby, baby noo
Like baby, baby, baby ooh
Thought you'd always be mine, mine Baby, baby, baby oohh
Like baby, baby, baby noo
Like baby, baby, baby ohh
Thought you'd always be mine, mine For you, i would have done what ever
And I just cant believe we ain't together
And I wanna play it cool, But I'm losing you
I'll buy you anything, ill buy you any ring
And I'm in pieces, Baby fix me
and just shake me til' you wake me from this bad dream I'm going down, down, down, down
And I just can't believe, my first love won't be around And I'm like,
Baby, baby, baby oooh
Like baby, baby, baby noo
Like baby, baby, baby ooh
Thought you'd always be mine, mine Baby, baby, baby oooh
Like baby, baby, baby noo
Like baby, baby, baby ooh
Thought you'd always be mine, mine Luda, When I was thirteen, I had my first love
There was nobody that compaired to my baby
And nobody came between us
or could ever come above
She had me going crazy
Oh I was starstruck
She woke me up daily
Don't need no Starbucks
She make my heart pound
and skip a beat when I see her in the street
and, At school, on the playground
But I really wanna see her on the weekend
She know she got me dazing
Cuz she was so amazing
And now, my heart is breakin'
But I just keep on sayin' Baby, baby, baby ohh
Like baby, baby, baby noo
Like baby, baby, baby ohh
Thought you'd always be mine, mine Baby, baby, baby ooh
Like baby, baby, baby noo
Like baby, baby, baby oooh
Thought you'd always be mine, mine (Now I'm all gone)
Yeah, Yeah, Yeah
Yeah Yeah Yeah
(Now I'm all gone)
Yeah, Yeah, Yeah
Yeah, Yeah, Yeah (Now I'm all gone)
Yeah, Yeah, Yeah
Yeah, Yeah, Yeah
Now I'm all gone, gone, gone, ooh
I'm gone "
6,Dynamite,Taio Cruz,2010,pop,"I came to dance-dance-dance-dance (Yeah)
I hit the floor 'cause that's my plans plans plans plans (Yeah)
I'm wearing all my favorite brands brands brands brands (Yeah)
Give me some space for both my hands hands hands hands
Yeah yeah 'cause it goes on and on and on
And it goes on and on and on yeah I throw my hands up in the air sometimes,
Saying ayeoh, gotta let go
I wanna celebrate and live my life,
Saying ay-oh, baby let's go
'Cause we gon' rock this club,
We gon' go all night,
We gon' light it up,
Like it's dynamite
'Cause I told you once,
Now I told you twice,
We gon' light it up,
Like it's dynamite I came to move move move move,
Get out the way of me and my crew crew crew crew, (Yea)
I'm in the club so I'm gonna do do do do, (Yea)
Just what I came here to do do do do,
Yeah yeah 'cause it goes on and on and on
And it goes on and on and on yeah I throw my hands up in the air sometimes,
Saying ay-oh, gotta let go
I wanna celebrate and live my life,
Saying ay-oh, baby let's go
'Cause we gon rock this club,
We gon' go all night,
We gon' light it up,
Like it's dynamite
'Cause I told you once,
Now I told you twice,
We gon' light it up,
Like it's dynamite I'm gonna take it all I,
I'm gonna be the last one standing,
Higher overall I,
I'm gonna be the last one landing 'cause I, I, I
Believe it, and I, I, I
I just want it all, I just want it all,
I'm gonna put my hands in the air, hands in the air
Put your hands in the air I throw my hands up in the air sometimes,
Saying ay-oh, gotta let go
I wanna celebrate and live my life,
Saying ay-oh, baby let's go
'Cause we gon rock this club,
We gon' go all night,
We gon' light it up,
Like it's dynamite
'Cause I told you once,
Now I told you twice,
We gon' light it up,
Like it's dynamite "
7,Secrets,OneRepublic,2010,pop,"I need another story
Something to get off my chest
My life gets kinda boring
Need something that I can confess Till all my sleeves are stained red
From all the truth that I've said
Come by, it honestly I swear
Thought you saw me wink, no, I've been on the brink, so Tell me what you want to hear
Something that will light those ears
Sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jumped in line
I'm gonna give all my secrets away My God, amazing how we got this far
It's like we were chasing all those stars
Who's driving shiny big black cars
And everyday I see the news
All the problems that we could solve
And when a situation rises
Just write it into an album
Send it straight to gold
But I don't really like my flow, no, so Tell me what you want to hear
Something that are like those years
Sick of all the insincere
So I'm gonna give all my secrets away
This time, don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away Got no reason
Got no shame
Got no family
I can blame
Just don't let me disappear
I'mma tell you everything Tell me what you want to hear
Something that'll light those ears
Sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away Tell me what you want to hear
Something that delight those years
Sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away
All my secrets away "
8,Only Girl (In The World),Rihanna,2010,pop,"La la la la
La la la la
La la la la (uh, yeah)
La la la la I want you to love me
Like I'm a hot ride (uh, yeah)
Be thinkin' of me (uh)
Doin' what you like So, boy, forget about the world
'Cause it's gon' be me and you tonight (yeah)
I wanna make you beg for it
Then I'm gon' make you swallow your pride, ooh Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one Want you to take it like a thief in the night
Hold me like a pillow, make me feel right
Baby, I'll tell you all my secrets that I'm keepin', you can come inside
And when you enter, you ain't leavin', be my prisoner for the night, ooh Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
Like I'm the only one who knows your heart
Only one Take me for a ride, ride
Oh baby, take me high, high
Let me make you rise, rise
Oh, make it last all night, night
Take me for a ride, ride
Oh baby, take me high, high
Let me make you rise, rise
Make it last all night Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man
Only girl in the world, girl in the world
Only girl in the world, girl in the world "
9,Marry You,Bruno Mars,2010,pop,"It's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes or is it this dancing juice?
Who cares, baby, I think I wanna marry you Well, I know this little chapel on the boulevard we can go
No one will know, oh, come on girl
Who cares if we're trashed, got a pocket full of cash we can blow
Shots of patron and it's on, girl Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready 'Cause it's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes or is it this dancing juice?
Who cares, baby, I think I wanna marry you I'll go get a ring, let the choir bells sing like, oh
So what ya wanna do? Let's just run, girl
If we wake up and you wanna break up, that's cool
No, I won't blame you, it was fun, girl Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready 'Cause it's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes or is it this dancing juice?
Who cares, baby, I think I wanna marry you Just say I do
Tell me right now, baby
Tell me right now, baby, baby Just say I do
Tell me right now, baby
Tell me right now, baby, baby, oh It's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes or is it this dancing juice
Who cares, baby, I think I wanna marry you "
