,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,Rank,Lyrics
0,1,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,3.0, hey hey hey hey hey heyyour lipstick stains on the front part of my left side brain i knew i wouldnt forget you and so i went and let you blow my mindyour sweet moonbeam the smell of you in every single dream i dream i knew when we collided youre the one i have decided whos one of my kindhey soul sister aint that mr mister on the radio stereo the way you move aint fair you knowhey soul sister i dont wanna miss a single thing you do tonighthey hey heyjust in time im so glad you have a one track mind like me you gave my life direction a game show love connection we cant denyim so obsessed my heart is bound to beat right out my untrimmed chest i believe in you like a virgin youre madonna and im always gonna wanna blow your mindhey soul sister aint that mr mister on the radio stereo the way you move aint fair you know hey soul sister i dont wanna miss a single thing you do tonightthe way you can cut a rug watching you is the only drug i need so gangster im so thug youre the only one im dreaming ofyou see i can be myself now finally in fact theres nothing i cant be i want the world to see youll be with mehey soul sister aint that mr mister on the radio stereo the way you move aint fair you know hey soul sister i dont wanna miss a single thing you do tonighthey soul sister i dont wanna miss a single thing you do tonighthey hey hey tonight hey hey hey tonight 
1,2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,7.0, just gonna stand there and watch me burn but thats alright because i like the way it hurts just gonna stand there and hear me cry but thats alright because i love the way you lie i love the way you liei cant tell you what it really is i can only tell you what it feels like and right now theres a steel knife in my windpipe i cant breathe but i still fight while i can fight as long as the wrong feels right its like im in flight high off of love drunk from my hate its like im huffing paint and i love it the more that i suffer i suffocate and right before im about to drown she resuscitates me she fucking hates me and i love it wait where you going im leaving you no you aint come back were running right back here we go again its so insane cause when its going good its going great im superman with the wind at his back shes lois lane but when its bad its awful i feel so ashamed i snapped whos that dude i dont even know his name i laid hands on her ill never stoop so low again i guess i dont know my own strengthjust gonna stand there and watch me burn but thats alright because i like the way it hurts just gonna stand there and hear me cry but thats alright because i love the way you lie i love the way you lie i love the way you lieyou ever love somebody so much you can barely breathe when youre with them you meet and neither one of you even know what hit em got that warm fuzzy feeling yeah them chills used to get em now youre getting fucking sick of looking at em you swore youve never hit em never do nothing to hurt em now youre in each others face spewing venom and these words when you spit em you push pull each others hair scratch claw bit em throw em down pin em so lost in the moments when youre in em its the rage thats the culprit it controls you both so they say its best to go your separate ways guess that they dont know ya cause today that was yesterday yesterday is over its a different day sound like broken records playin over but you promised her next time youll show restraint you dont get another chance life is no nintendo game but you lied again now you get to watch her leave out the window guess thats why they call it window panejust gonna stand there and watch me burn but thats alright because i like the way it hurts just gonna stand there and hear me cry but thats alright because i love the way you lie i love the way you lie i love the way you lienow i know we said things did things that we didnt mean and we fall back into the same patterns same routine but your tempers just as bad as mine is youre the same as me but when it comes to love youre just as blinded baby please come back it wasnt you baby it was me maybe our relationship isnt as crazy as it seems maybe thats what happens when a tornado meets a volcano all i know is i love you too much to walk away now come inside pick up your bags off the sidewalk dont you hear sincerity in my voice when i talk told you this is my fault look me in the eyeball next time im pissed ill aim my fist at the dry wall next time there will be no next time i apologize even though i know its lies im tired of the games i just want her back i know im a liar if she ever tries to fucking leave again im a tie her to the bed and set this house on firejust gonna stand there and watch me burn but thats alright because i like the way it hurts just gonna stand there and hear me cry but thats alright because i love the way you lie i love the way you lie i love the way you lie 
2,3,TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80,1.0, wake up in the morning feeling like p diddy hey what up girl grab my glasses im out the door im gonna hit this city lets go before i leave brush my teeth with a bottle of jack cause when i leave for the night i aint coming backim talking pedicure on our toes toes trying on all our clothes clothes boys blowing up our phones phones droptopping playing our favorite cds rollin up to the parties trying to get a little bit tipsydont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop nodont stop make it pop dj blow my speakers up tonight ima fight til we see the sunlight ticktock on the clock but the party dont stop noaint got a care in world but got plenty of beer aint got no money in my pocket but im already here and now the dudes are lining up cause they hear we got swagger but we kick em to the curb unless they look like mick jaggerim talking about everybody getting crunk crunk boys tried to touch my junk junk gonna smack him if he getting too drunk drunknow now we goin till they kick us out out or the police shut us down down police shut us down down popo shut usdont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop nodont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop nodj you build me up you break me down my heart it pounds yeah you got me with my hands up you got me now you got that sound yeah you got medj you build me up you break me down my heart it pounds yeah you got me with my hands up put your hands up put your hands upnow the party dont start till i walk indont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop nodont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop no 
3,4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79,8.0, ohohohohoh ohohohohohoh caught in a bad romance ohohohohoh ohohohohohoh caught in a bad romancerah rah ahahah ro mah romahmah gaga ohlala want your bad romancerah rah ahahah ro mah romahmah gaga oohlala want your bad romancei want your ugly i want your disease i want your everything as long as its free i want your love lovelovelove i want your lovei want your drama the touch of your hand i want your leather studded kiss in the sand i want your love lovelovelove i want your love lovelovelove i want your loveyou know that i want you and you know that i need you i want it bad your bad romancei want your love and i want your revenge you and me could write a bad romance ohohohohoooh i want your love and all your lovers revenge you and me could write a bad romanceohohohohoh ohohohohohoh caught in a bad romanceohohohohooh ohohoohohohoh caught in a bad romancerah rah ahahah ro mah romahmah gaga oohlala want your bad romancei want your horror i want your design cause youre a criminal as long as your mine i want your love lovelovelove i want your lovei want your psycho your vertigo shtick want you in my rear window baby youre sick i want your love lovelovelove i want your love lovelovelove i want your loveyou know that i want you and you know that i need you i want it bad bad romancei want your love and i want your revenge you and me could write a bad romance ohohohohooh i want your love and all your lovers revenge you and me could write a bad romanceohohohohooh ohohoohohohoh caught in a bad romanceohohohohooh ohohoohohohoh caught in a bad romancerah rah ahahah ro mah romahmah gaga oohlala want your bad romancerah rah ahahah ro mah romahmah gaga ohlala want your bad romancewalk walk fashion baby work it move that bitch crazy walkwalk fashion baby work it move that bitch crazy walkwalk fashion baby work it move that bitch crazy walkwalk passion baby work it im a free bitch babyi want your love and i want your revenge i want your love i dont wanna be friendsjveux ton amour et je veux ta revanche jveux ton amour i dont wanna be friends i dont wanna be friends i dont wanna be friends i dont wanna be friends want your bad romance caught in a bad romance want your bad romancei want your love and i want your revenge you and me could write a bad romance ohohohohooh i want your love and all your lovers revenge you and me could write a bad romanceohohohohooh want your bad romance caught in a bad romance want your bad romance ohohohohooh want your bad romance caught in a bad romancerah rah ahahah ro mah romahmah gaga oohlala want your bad romance 
4,5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78,18.0, oh her eyes her eyes make the stars look like theyre not shining her hair her hair falls perfectly without her trying shes so beautiful and i tell her everydayyeah i know i know when i compliment her she wont believe me and its so its so sad to think that she doesnt see what i see but every time she ask me do i look okay i saywhen i see your face theres not a thing that i would change cause youre amazing just the way you areand when you smile the whole world stops and stares for a while cause girl youre amazing just the way you areher lips her lips i could kiss them all day if shed let me her laugh her laugh she hates but i think its so sexy shes so beautiful and i tell her everydayoh you know you know you know id never ask you to change if perfects what youre searching for then just stay the same so dont even bother asking if you look okay you know ill saywhen i see your face theres not a thing that i would change cause girl youre amazing just the way you areand when you smile the whole world stops and stares for a while cause girl youre amazing just the way you arethe way you are the way you are girl youre amazing just the way you arewhen i see your face theres not a thing that i would change cause girl youre amazing just the way you areand when you smile the whole world stops and stares for a while cause girl youre amazing just the way you are yeah 
6,6,Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77,44.0, oh whoa oh whoa oh whoayou know you love me i know you care just shout whenever and ill be there you are my love you are my heart and we will never ever  ever be apartare we an item girl quit playing were just friends what are you saying said theres another and looked right in my eyes my first love broke my heart for the first timeand i was like baby baby baby oh like baby baby baby oh like baby baby baby oh i thought youd always be mine minebaby baby baby oh like baby baby baby no like baby baby baby oh i thought youd always be mine minefor you i would have done whatever and i just cant believe we arent together and i want to play it cool but im losing you ill buy you anything ill buy you diamond ringand im in pieces baby fix me and just shake me till you wake me from this bad dream im going down down down down and i just cant believe my first love wont be aroundand im like baby baby baby oh like baby baby baby no like baby baby baby oh i thought youd always be mine minebaby baby baby oh like baby baby baby no like baby baby baby oh i thought youd always be mine minewhen i was 13 i had my first love there was nobody that compared to my baby and nobody came between us who could ever come above she had me going crazy oh i was starstruck she woke me up daily dont need no starbucksshe made my heart pound i skip a beat when i see her in the street and at school on the playground but i really want to see her on the weekend she knows she got me dazing cause she was so amazing and now my heart is breaking but i just keep on sayingbaby baby baby oh like baby baby baby no like baby baby baby oh i thought youd always be mine minebaby baby baby oh like baby baby baby no like baby baby baby oh i thought youd always be mine mineim all gone yeah yeah yeah yeah yeah yeah now im all gone yeah yeah yeah yeah yeah yeah now im all gone yeah yeah yeah yeah yeah yeah now im all gone gone gone gone im gone 
7,7,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,9.0, i came to dancedancedancedance yeah i hit the floor cause thats my plans plans plans plans yeah im wearing all my favorite brands brands brands brands yeah give me some space for both my hands hands hands hands yeah yeah cause it goes on and on and on and it goes on and on and on yeahi throw my hands up in the air sometimes saying ayeoh gotta let go i wanna celebrate and live my life saying ayoh baby lets go cause we gon rock this club we gon go all night we gon light it up like its dynamite cause i told you once now i told you twice we gon light it up like its dynamitei came to move move move move get out the way of me and my crew crew crew crew yea im in the club so im gonna do do do do yea just what i came here to do do do do yeah yeah cause it goes on and on and on and it goes on and on and on yeahi throw my hands up in the air sometimes saying ayoh gotta let go i wanna celebrate and live my life saying ayoh baby lets go cause we gon rock this club we gon go all night we gon light it up like its dynamite cause i told you once now i told you twice we gon light it up like its dynamiteim gonna take it all i im gonna be the last one standing higher overall i im gonna be the last one landing cause i i i believe it and i i i i just want it all i just want it all im gonna put my hands in the air hands in the air put your hands in the airi throw my hands up in the air sometimes saying ayoh gotta let go i wanna celebrate and live my life saying ayoh baby lets go cause we gon rock this club we gon go all night we gon light it up like its dynamite cause i told you once now i told you twice we gon light it up like its dynamite 
9,8,Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,76.0, i need another story something to get off my chest my life gets kinda boring need something that i can confess til all my sleeves are stained red from all the truth that ive said come by it honestly i swear thought you saw me wink no ive been on the brink sotell me what you want to hear something that will light those ears sick of all the insincere im gonna give all my secrets away this time dont need another perfect lie dont care if critics ever jump in line im gonna give all my secrets awaymy god amazing how we got this far its like were chasing all those stars whos driving shiny big black cars and everyday i see the news all the problems that we could solve and when a situation rises just write it into an album send it straight to gold i dont really like my flow no sotell me what you want to hear something that are like those years sick of all the insincere im gonna give all my secrets away this time dont need another perfect lie dont care if critics never jump in line im gonna give all my secrets awayoh got no reason got no shame got no family i cant blame just dont let me disappear imma tell you everythingso tell me what you want to hear something thatll light those ears sick of all the insincere im gonna give all my secrets away this time dont need another perfect lie dont care if critics never jump in line im gonna give all my secrets awayso tell me what you want to hear something that delight those ears sick of all the insincere im gonna give all my secrets away this time dont need another perfect lie dont care if critics ever jump in line im gonna give all my secrets away all my secrets away all my secrets away 
11,10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,47.0, la la la la la la la la la la la la yeah la la la lai want you to love me like im a hot ride uh yeah keep thinkin of me uh doin what you like so boy forget about the world cause its gon be me and you tonight yeah i wanna make your beg for it then imma make you swallow your pridewant you to make me feel like im the only girl in the world like im the only one that youll ever love like im the only one who knows your heart only girl in the world like im the only one thats in command cause im the only one who understands how to make you feel like a manyeah want you to make me feel like im the only girl in the world like im the only one that youll ever love like im the only one who knows your heart only onewant you to take it like a thief in the night hold me like a pillow make me feel right baby ill tell you all my secrets that im keepin you can come inside yeah and when you enter you aint leavin be my prisoner for the night ohwant you to make me feel like im the only girl in the world like im the only one that youll ever love like im the only one who knows your heart only girl in the world like im the only one thats in command cause im the only one who understands like im the only one who knows your heart only onetake me for a ride ride oh baby take me high high let me make you rise rise oh make it last all night nighttake me for a ride ride oh baby take me high high let me make you rise rise make it last all nightwant you to make me feel like im the only girl in the world like im the only one that youll ever love like im the only one who knows your heart only girl in the world like im the only one thats in command cause im the only one who understands how to make you feel like a manonly girl in the world girl in the world only girl in the world girl in the world 
16,14,Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73,16.0, hello hello baby you called i cant hear a thing i have got no service in the club you see see whawhawhat did you say oh youre breaking up on me sorry i cannot hear you im kinda busykkinda busy kkinda busy sorry i cannot hear you im kinda busyjust a second its my favorite song theyre gonna play and i cannot text you with a drink in my hand eh you shoulda made some plans with me you knew that i was free and now you wont stop calling me im kinda busystop callin stop callin i dont wanna think any more i left my head and heart on the dance floor stop callin stop callin i dont wanna talk anymore its got my head and my heart on the dance flooreh eh eh eh eh eh eh eh eh eh stop telephonin me eh eh eh eh eh eh eh eh eh im busy eh eh eh eh eh eh eh eh stop telephonin me eh eh eh eh eh eh ehcall all you want but theres no one home and youre not gonna reach my telephone out in the club and im sippin that bub and youre not gonna reach my telephonecall all you want but theres no one home and youre not gonna reach my telephone out in the club and im sippin that bub and youre not gonna reach my telephoneboy the way you blowin up my phone wont make me leave no faster put my coat on faster leave my girls no faster i shoulda left my phone at home cause this is a disaster callin like a collector sorry i cannot answernot that i dont like you im just at a party and i am sick and tired of my phone ringin sometimes i feel like i live in grand central station tonight im not takin no calls cause ill be dancincause ill be dancin cause ill be dancin tonight im not takin no calls cause ill be dancinstop callin stop callin i dont wanna think any more i left my head and my heart on the dance floor stop callin stop callin i dont wanna talk any more i left my head and my heart on the dance floorstop callin stop callin i dont wanna think any more i left my head and my heart on the dance floor stop callin stop callin i dont wanna talk any more i left my head and my heart on the dance flooreh eh eh eh eh eh eh eh eh eh stop telephonin me eh eh eh eh eh eh eh eh eh im busy eh eh eh eh eh eh eh stop telephonin me eh eh eh eh eh eh ehcan call all you want but theres no one home youre not gonna reach my telephone cause im out in the club and im sippin that bub and youre not gonna reach my telephonecall when you want but theres no one home and youre not gonna reach my telephone cause im out in the club and im sippin that bub and youre not gonna reach my telephonemy telephone mmmy telephone cause im out in the club and im sippin that bub and youre not gonna reach my telephonemy telephone mmmy telephone cause im out in the club and im sippin that bub and youre not gonna reach my telephonewere sorry the number you have reached is not in service at this time please check the number or try your call again 
